prompt_id,peak_layer,peak_score
22,18,0.37904930114746094
5,18,0.3573554754257202
31,18,0.33984796330332756
8,18,0.2819923534989357
18,18,0.275085873901844
25,18,0.2737786993384361
30,18,0.2613525390625
1,18,0.25747835636138916
14,18,0.2521377485245466
3,18,0.24744212627410886
28,18,0.24435587972402573
12,18,0.22963812202215195
4,18,0.21211791038513184
10,18,0.15476864017546174
20,18,0.0694012944586575
23,18,0.06701574241742492
19,18,0.02377073466777801
17,18,0.023486785823479274
24,18,0.017032623291015625
16,18,0.016775409691035734
15,18,0.015021707862615566
29,18,0.0064845224842429005
9,18,0.006418982520699501
6,18,0.005007804837077837
21,18,0.0028373673558235108
26,18,0.0007691383361816
7,18,0.0004739068681374067
11,18,0.00012074306141584174
13,18,3.6222743801763216e-05
2,18,1.3861805200576782e-05
27,6,1.1235475540161133e-05
