family,series,mean_norm_effect,ci_low,ci_high,p_value_vs_real,gap_real_minus_series,n_rows
C,real,0.10350135497498529,0.09090687385889376,0.11669485551286336,,0.0,4925
C,condition_semantic,0.07117806493578131,0.06090481670629204,0.08151779807670084,0.0002102984243589693,0.03232329003920398,4925
C,random_magnitude_matched,0.06343173670847416,0.05255213460760789,0.07327792510782942,1.4917951535922303e-06,0.040069618266511134,4655
A,real,0.16371103678995058,0.1564843200210158,0.17073932295912445,,0.0,5355
A,condition_semantic,0.1396043135963462,0.13315516032735,0.14601207614891965,0.0005161397796479113,0.02410672319360438,5355
A,random_magnitude_matched,0.13740931923197344,0.1311948714008494,0.14417451548182442,0.000568304252192512,0.02630171755797714,5250
