layer,feature_idx,token_identity,n_hits,n_conditions,mean_norm_effect,neutralized_hits,inverted_hits,expected_sign,source
11,87380,<blank>,5,3,0.4703930577294773,0,1,1,shortlist
3,87385,<blank>,5,3,0.3481510728796152,0,1,1,shortlist
