layer,feature_idx,n_hits,n_runs,n_conditions,n_prompt_vars,n_temps,n_seeds,mean_norm_effect,median_norm_effect,sign_consistency,replication_pass
11,87380,12,12,5,3,5,4,0.0786353071286731,0.04904306219128454,0.6666666666666666,False
3,87385,12,12,5,3,5,4,-0.06935074647714944,-0.09166666659888889,0.16666666666666666,False
