intervention_scope,control_type,n_real,n_control,real_mean,control_mean,mannwhitney_u,p_value
local_token,condition_semantic,985,985,0.10350135497498529,0.07342660400597648,503052.5,0.1552269040026623
local_token,random_magnitude_matched,985,931,0.10350135497498529,0.06637963662640906,482538.5,0.04716805431520021
