condition,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
asthma,20,0.24210205078125,0.7568359375,0.51473388671875,95.0
depression,20,0.038036346435546875,0.9607421875,0.9227058410644531,100.0
multiple sclerosis,20,0.004772758483886719,0.99453125,0.9897584915161133,100.0
rheumatoid arthritis,20,0.003868415951728821,0.9962890625,0.9924206465482712,100.0
sarcoidosis,20,0.01672821044921875,0.9775390625,0.9608108520507812,100.0
