prompt_id,prompt_label,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
1,A_var1,5,0.0073340415954589845,0.9921875,0.984853458404541,100.0
2,A_var2,5,0.010921478271484375,0.98828125,0.9773597717285156,100.0
3,A_var3,5,0.081787109375,0.91796875,0.836181640625,100.0
4,A_var4,5,0.014579391479492188,0.98515625,0.9705768585205078,100.0
5,A_var5,5,0.09102249145507812,0.90859375,0.8175712585449219,100.0
6,A_var6,5,0.076025390625,0.92265625,0.846630859375,100.0
7,A_var7,5,0.015024185180664062,0.98359375,0.968569564819336,100.0
8,A_var8,5,0.04211273193359375,0.95703125,0.9149185180664062,100.0
9,A_var9,5,0.043376922607421875,0.95546875,0.9120918273925781,100.0
10,A_var10,5,0.07389755249023437,0.92578125,0.8518836975097657,100.0
11,C_var1,5,0.028936386108398438,0.9703125,0.9413761138916016,100.0
12,C_var2,5,0.056021499633789065,0.94296875,0.8869472503662109,100.0
13,C_var3,5,0.09195108413696289,0.90390625,0.8119551658630371,100.0
14,C_var4,5,0.05190210342407227,0.94765625,0.8957541465759278,100.0
15,C_var5,5,0.1605224609375,0.8375,0.6769775390625,80.0
16,C_var6,5,0.07690887451171875,0.92265625,0.8457473754882813,100.0
17,C_var7,5,0.09999198913574218,0.89921875,0.7992267608642578,100.0
18,C_var8,5,0.033773624897003175,0.965625,0.9318513751029969,100.0
19,C_var9,5,0.10111083984375,0.8828125,0.78170166015625,100.0
20,C_var10,5,0.06483097076416015,0.934375,0.8695440292358398,100.0
