layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: multiple,20: sclerosis,21:.,22: Start,23: exactly,24: with,25::,"26: """,27:Gender,28::,"29: ""","30:
",31:<,32:|,33:ass,34:istant,35:|>,"36:
",37:Gender,38::
L14,-0.045706,-0.005600,0.005569,-0.075371,-0.081411,-0.028321,-0.063399,-0.087488,0.064866,0.095787,-0.112171,-0.045706,-0.105943,-0.176685,0.005569,0.005569,0.027541,0.011107,0.115882,0.016615,-0.022592,0.105885,-0.087488,-0.039877,-0.081411,0.070086,-0.118439,-0.124745,0.173852,-0.124745,-0.738496,0.022093,-0.028321,0.005569,0.011107,0.011107,-0.960001,-0.081411,-0.505030
L15,-0.028321,-0.112171,-0.016896,0.005569,0.049040,-0.022592,-0.039877,-0.069367,0.080446,-0.099754,0.027541,-0.063399,0.011107,-0.124745,0.043708,-0.028321,0.022093,-0.099754,-0.081411,0.049040,-0.183371,0.054343,0.043708,-0.022592,-0.051569,-0.163445,-0.238534,0.380851,0.005569,0.130692,0.169147,-0.143908,0.011107,0.000000,-0.063399,0.000000,0.085586,0.454397,-0.319723
L16,-0.057467,-0.069367,0.000000,0.016615,0.016615,-0.028321,-0.005600,-0.051569,-0.034082,-0.105943,0.105885,-0.075371,0.043708,-0.137479,-0.087488,-0.087488,-0.022592,-0.051569,-0.081411,0.032959,0.154899,-0.196879,0.011107,-0.069367,-0.039877,0.095787,-0.260031,-0.118439,0.064866,-0.011232,-0.260031,-0.011232,-0.005600,-0.051569,-0.028321,-0.045706,0.329971,-0.335220,0.599358
L17,-0.051569,-0.039877,-0.016896,0.011107,0.032959,0.011107,-0.011232,-0.069367,-0.016896,0.005569,0.000000,-0.039877,-0.045706,-0.099754,-0.011232,-0.063399,0.022093,-0.045706,-0.057467,-0.039877,-0.238534,-0.081411,-0.156890,-0.081411,-0.112171,-0.069367,-0.319723,-0.022592,0.038348,-0.099754,-0.335220,-0.022592,0.038348,-0.039877,0.085586,0.105885,0.130692,0.038348,0.923876
L18,0.022093,-0.045706,-0.022592,-0.028321,0.016615,-0.005600,-0.081411,-0.063399,-0.112171,-0.112171,-0.034082,-0.028321,-0.034082,0.038348,0.110896,0.005569,0.022093,0.080446,-0.011232,0.043708,1.138532,0.357689,-0.045706,-0.022592,0.105885,-0.022592,0.115882,0.305586,0.267855,0.049040,-0.420769,-0.057467,-0.028321,-0.034082,0.000000,0.000000,0.135581,0.549042,-0.455386
L19,0.022093,0.038348,-0.016896,-0.011232,-0.011232,-0.087488,-0.011232,0.000000,0.005569,0.154899,0.090699,0.005569,-0.005600,-0.099754,-0.045706,-0.093602,-0.011232,0.049040,-0.051569,0.075280,-0.156890,-0.093602,-0.075371,-0.028321,-0.022592,-0.183371,-0.391432,-0.217490,-0.069367,-0.217490,-0.245648,-0.034082,-0.069367,0.016615,-0.075371,0.145287,0.357689,-0.849638,-1.274482
L20,-0.022592,-0.011232,0.005569,0.000000,-0.075371,0.016615,-0.039877,-0.011232,0.022093,0.011107,-0.016896,-0.011232,-0.016896,-0.005600,0.027541,0.027541,-0.016896,-0.005600,-0.045706,0.049040,-0.274623,-0.282000,-0.039877,-0.063399,0.000000,-0.075371,-0.087488,-0.312063,0.027541,-0.087488,-0.252814,0.054343,-0.028321,-0.039877,0.080446,0.210712,0.246262,-0.473155,-1.274482
L21,-0.057467,-0.028321,-0.051569,-0.039877,-0.075371,0.038348,-0.039877,-0.057467,-0.005600,-0.069367,-0.034082,0.027541,0.000000,-0.011232,0.005569,0.022093,-0.011232,0.000000,-0.045706,0.154899,0.773436,0.237492,-0.022592,-0.011232,-0.028321,-0.063399,0.059619,0.115882,0.100848,0.038348,-0.034082,0.080446,-0.063399,-0.016896,-0.057467,0.192452,0.210712,-0.312063,-0.477646
L22,-0.045706,-0.022592,-0.016896,-0.022592,-0.057467,-0.016896,-0.028321,-0.028321,-0.081411,-0.039877,-0.039877,-0.005600,0.000000,-0.016896,-0.022592,-0.011232,-0.045706,-0.034082,-0.081411,-0.005600,-0.260031,-0.112171,-0.075371,0.005569,-0.045706,-0.081411,-0.118439,0.022093,0.043708,-0.039877,-0.069367,-0.016896,0.038348,-0.016896,-0.051569,0.267855,0.329971,-1.170243,-1.853342
L23,-0.022592,-0.034082,-0.022592,-0.039877,-0.063399,-0.011232,-0.028321,-0.016896,-0.063399,0.005569,-0.011232,-0.022592,-0.011232,-0.011232,-0.034082,-0.057467,-0.039877,-0.011232,-0.028321,-0.124745,-0.612386,-0.156890,-0.011232,-0.022592,0.000000,-0.022592,-0.099754,0.159671,-0.011232,-0.039877,-0.045706,0.022093,0.059619,0.000000,0.085586,0.201624,0.032959,-0.210572,-0.075371
L24,-0.034082,0.005569,-0.039877,-0.011232,-0.028321,0.380851,-0.011232,-0.011232,0.000000,-0.069367,-0.011232,-0.016896,-0.011232,0.000000,0.000000,0.000000,-0.016896,-0.016896,-0.022592,-0.112171,0.095787,-0.028321,-0.016896,-0.039877,-0.028321,0.000000,0.038348,-0.124745,0.059619,0.011107,-0.011232,-0.063399,0.005569,-0.005600,0.070086,0.173852,-0.028321,-0.370991,1.423051
L25,-0.022592,-0.034082,-0.011232,0.022093,-0.039877,-0.028321,-0.034082,0.005569,0.022093,0.005569,-0.011232,-0.005600,-0.039877,-0.011232,-0.011232,0.005569,0.022093,0.005569,-0.034082,-0.124745,0.043708,0.049040,-0.005600,-0.005600,-0.005600,0.016615,0.110896,-0.093602,0.115882,0.080446,-0.022592,-0.011232,-0.022592,-0.028321,-0.005600,-0.231470,-0.196879,-0.557268,-1.889629
L26,0.005569,-0.028321,-0.016896,-0.011232,-0.016896,0.016615,-0.011232,0.000000,-0.011232,-0.011232,-0.005600,0.000000,0.000000,-0.028321,-0.011232,0.016615,0.005569,0.016615,-0.011232,-0.034082,0.276364,0.000000,0.005569,-0.028321,0.005569,-0.011232,0.027541,0.027541,0.000000,-0.051569,-0.022592,-0.039877,0.059619,0.016615,0.090699,-1.179283,-0.093602,-0.176685,0.698547
L27,-0.028321,-0.011232,0.016615,-0.005600,0.011107,0.005569,-0.011232,0.005569,0.005569,-0.011232,0.000000,0.000000,0.005569,-0.028321,0.022093,-0.028321,0.005569,0.000000,-0.011232,-0.016896,0.135581,-0.011232,-0.011232,-0.022592,0.005569,-0.028321,-0.028321,-0.063399,0.032959,-0.011232,0.005569,-0.063399,-0.011232,0.000000,0.064866,-0.698404,-0.045706,-0.081411,0.496060
L28,-0.034082,-0.011232,-0.028321,0.016615,-0.034082,0.000000,0.000000,0.000000,0.000000,-0.011232,-0.016896,-0.016896,0.005569,-0.011232,0.005569,-0.028321,0.000000,0.000000,-0.016896,-0.069367,0.110896,0.005569,0.000000,-0.011232,-0.011232,-0.011232,-0.034082,-0.099754,0.016615,0.005569,0.005569,-0.039877,0.000000,-0.011232,0.105885,-1.059607,-0.005600,-0.034082,-0.882836
L29,-0.022592,-0.011232,-0.028321,-0.011232,-0.057467,-0.011232,-0.022592,-0.011232,-0.011232,-0.011232,-0.011232,-0.028321,0.005569,0.016615,-0.016896,-0.022592,0.005569,0.000000,0.000000,-0.011232,-0.028321,0.016615,0.005569,-0.011232,-0.011232,0.016615,-0.011232,-0.011232,0.000000,0.000000,-0.016896,-0.005600,-0.039877,-0.011232,-0.016896,-0.882836,0.016615,0.011107,0.580785
L30,0.016615,0.005569,-0.011232,0.005569,-0.022592,0.000000,-0.011232,0.000000,0.000000,-0.011232,0.000000,-0.011232,0.000000,-0.011232,0.000000,-0.011232,0.000000,-0.016896,-0.011232,-0.039877,-0.028321,0.016615,0.000000,0.000000,-0.011232,-0.011232,-0.011232,0.005569,0.022093,0.000000,-0.011232,0.016615,0.005569,-0.011232,0.011107,0.120843,-0.011232,0.000000,0.388453
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.983733
