condition,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
asthma,31,0.09891534620715726,0.7486375378024194,0.6497221915952621,87.09677419354838
bronchitis,31,0.5179719002016129,0.3340038176505796,-0.18396808255103328,35.483870967741936
depression,31,0.014978981787158598,0.8953109248991935,0.880331943112035,96.7741935483871
essential hypertension,31,0.45914976058467744,0.4422331779233871,-0.016916582661290324,48.38709677419355
multiple sclerosis,31,0.002040986091859879,0.9340347782258065,0.9319937921339466,100.0
rheumatoid arthritis,31,0.0001369773620559323,0.9548261088709677,0.9546891315089118,100.0
sarcoidosis,31,0.006573400189799647,0.8175816689768145,0.8110082687870148,100.0
