control_type,n_real,n_control,real_mean,control_mean,mannwhitney_u,p_value
condition_semantic,891,891,0.0009192207332741817,0.0068547837773611274,405169.5,0.1412799195676183
random_magnitude_matched,891,800,0.0009192207332741817,0.019059553228110954,339500.0,0.007239113020932952
