score_key,layer,condition_token_mean,condition_token_max,full_token_max,full_token_topk_mean,full_token_mean,num_units
rewrite_scores,0,0.663829144372633,0.663829144372633,0.9999747983870968,0.9917236853158602,0.5672497172467182,155
rewrite_scores,1,0.008558036025726435,0.008558036025726435,0.03313084612450292,0.010186780975550732,0.002005063888754474,155
rewrite_scores,2,0.3831801675260067,0.3831801675260067,0.9999495967741936,0.45460336548025887,0.13377856604173247,155
rewrite_scores,3,0.009572529516211062,0.009572529516211062,0.06922576139050145,0.012600829948180466,0.00083890439250025,155
rewrite_scores,4,0.03064628051255237,0.03064628051255237,0.08088463902954132,0.017293611941959268,0.003914048382504604,155
rewrite_scores,5,0.00762275398962877,0.00762275398962877,0.022984900337553793,0.00844228752117644,0.0009907474176518644,155
rewrite_scores,6,0.06256310368013202,0.06256310368013202,0.11483839072527424,0.025411126958106156,0.006395696004599575,155
rewrite_scores,7,0.18915185958824374,0.18915185958824374,0.3540997758988411,0.05050408602882457,0.013776770890380725,155
rewrite_scores,8,0.028648546360658878,0.028648546360658878,0.057512578151879774,0.014075423564801936,0.002888948234548488,155
rewrite_scores,9,-8.769231763753024e-05,-8.769231763753024e-05,0.036498668717761196,0.009445285337266102,0.000637702790658405,155
rewrite_scores,10,0.0203766153814892,0.0203766153814892,0.07392247064459709,0.015533714324075689,0.003846663829914482,155
rewrite_scores,11,0.010801960714161396,0.010801960714161396,0.025424225291898174,0.009201860328515372,0.0013495587460640762,155
rewrite_scores,12,0.0590477886920174,0.0590477886920174,0.08839694124556356,0.020320687603245503,0.00514047526827777,155
rewrite_scores,13,0.035975934119161335,0.035975934119161335,0.05023213286072977,0.012449255485528258,0.003211706661287394,155
rewrite_scores,14,0.02466117273169485,0.02466117273169485,0.0735457002635925,0.018595272012615714,0.00547592759749943,155
rewrite_scores,15,0.017428551856992824,0.017428551856992824,0.05007918397745779,0.011955717793235213,0.00292686613632312,155
rewrite_scores,16,0.0031325069510123944,0.0031325069510123944,0.022180984097142375,0.005688871538607023,4.359369737882247e-05,155
rewrite_scores,17,0.03510398774718245,0.03510398774718245,0.16854199651748902,0.02085321913242981,0.005281691966755227,155
rewrite_scores,18,0.3974796380057479,0.3974796380057479,0.48163665494611185,0.09896742388365731,0.030439507426979952,155
rewrite_scores,19,0.1958457946382237,0.1958457946382237,0.3768311223676128,0.05730626396113827,0.017588897453789984,155
rewrite_scores,20,-0.01936929086646573,-0.01936929086646573,0.1317061101236651,0.010900869106733671,0.00020924252234829076,155
rewrite_scores,21,0.04586832360787825,0.04586832360787825,0.30595440403107677,0.02808475367564668,0.007846857606820199,155
rewrite_scores,22,-0.001589623082316283,-0.001589623082316283,0.005992331043366463,0.002140158305885971,-0.00048032245971288304,155
rewrite_scores,23,0.000660256002888535,0.000660256002888535,0.00896363123770683,0.002311076916033222,0.0002236950275563771,155
rewrite_scores,24,0.0010017739100889726,0.0010017739100889726,0.017584360679311135,0.002704084461895368,0.0007222229494987002,155
rewrite_scores,25,0.001264408908107064,0.001264408908107064,0.0030037127675548677,0.0015323542979776218,5.273343772732688e-05,155
rewrite_scores,26,0.0003866621039130471,0.0003866621039130471,0.04915611282471687,0.0046203934617580905,0.0010379115060143776,155
rewrite_scores,27,0.0,0.0,0.03875330648114604,0.002583553765409736,0.000605517444456288,155
