cohort,score_key,layer,condition_token_mean,condition_token_max,full_token_max,full_token_topk_mean,full_token_mean,num_units
asthma,rewrite_scores,0,0.9143145161290323,0.9143145161290323,0.9998739919354839,0.9987231182795699,0.6479065462101622,31
asthma,rewrite_scores,1,0.02462436306861139,0.02462436306861139,0.10744205597908266,0.03365289831674227,0.005575521839333711,31
asthma,rewrite_scores,2,0.8988155241935484,0.8988155241935484,0.9998739919354839,0.6151554230720767,0.18544366492343717,31
asthma,rewrite_scores,3,-0.001209074451077369,-0.001209074451077369,0.17617059523059475,0.039741384854880706,0.0005781750874144961,31
asthma,rewrite_scores,4,0.12137308428364416,0.12137308428364416,0.18229626071068547,0.055285874233450945,0.011376607708753907,31
asthma,rewrite_scores,5,0.007172307660502772,0.007172307660502772,0.06824321131552419,0.026239444363501768,0.0011447689999961154,31
asthma,rewrite_scores,6,0.23602934806577622,0.23602934806577622,0.3287747290826613,0.08000224533901419,0.018875549174882444,31
asthma,rewrite_scores,7,0.43391664566532256,0.43391664566532256,0.7337508663054435,0.13391795824932798,0.03569834326711167,31
asthma,rewrite_scores,8,0.11085165700604839,0.11085165700604839,0.1900969474546371,0.04950226814516129,0.010065078041633894,31
asthma,rewrite_scores,9,-0.008617770287298387,-0.008617770287298387,0.12451171875,0.03266633966917634,0.0009521149311072177,31
asthma,rewrite_scores,10,0.07008854035408266,0.07008854035408266,0.17129910376764113,0.047783642430459315,0.011156666708549595,31
asthma,rewrite_scores,11,0.02743708702825731,0.02743708702825731,0.0909817603326613,0.032909095928233156,0.004873046558916395,31
asthma,rewrite_scores,12,0.2063263923891129,0.2063263923891129,0.28088575793850806,0.07240207220918388,0.018091010050006847,31
asthma,rewrite_scores,13,0.12457533805601058,0.12457533805601058,0.16903784967237903,0.04375671058572749,0.010842011784307982,31
asthma,rewrite_scores,14,0.10237564579133064,0.10237564579133064,0.20923048450100806,0.06264027831374958,0.018192138378035023,31
asthma,rewrite_scores,15,0.07181475239415322,0.07181475239415322,0.17831224010836694,0.04469596493628717,0.010921988607408473,31
asthma,rewrite_scores,16,0.016393630735335812,0.016393630735335812,0.07476043701171875,0.01998793848099247,-0.0007219241284614291,31
asthma,rewrite_scores,17,0.14011752220892137,0.14011752220892137,0.44029974168346775,0.06572364478982903,0.015811133689647577,31
asthma,rewrite_scores,18,0.8330550655241935,0.8330550655241935,0.8916960685483871,0.23869881578671037,0.07493115607957614,31
asthma,rewrite_scores,19,0.6670630670362904,0.6670630670362904,0.8308971774193549,0.15803229219170023,0.04923233667325338,31
asthma,rewrite_scores,20,-0.07324735579952117,-0.07324735579952117,0.4732705393145161,0.03934707641601562,-0.0007621805337271632,31
asthma,rewrite_scores,21,0.16211035943800403,0.16211035943800403,0.5797946068548387,0.06649709311864709,0.017603252319937156,31
asthma,rewrite_scores,22,-0.005252945807672316,-0.005252945807672316,0.02257230204920615,0.008228252780052922,-0.0021876282528621137,31
asthma,rewrite_scores,23,0.0027146647053380166,0.0027146647053380166,0.02143589142830141,0.007921397301458544,0.00021362364060819664,31
asthma,rewrite_scores,24,0.0030952884304908013,0.0030952884304908013,0.056658590993573586,0.00943885003366778,0.0024405710009438386,31
asthma,rewrite_scores,25,0.00526986583586662,0.00526986583586662,0.009915521067957725,0.005576849496492777,-4.656193511014589e-05,31
asthma,rewrite_scores,26,0.0018227792555286038,0.0018227792555286038,0.12768160912298387,0.013636284489785475,0.0027186524916022327,31
asthma,rewrite_scores,27,0.0,0.0,0.11152501260080645,0.007435000840053764,0.0014112119785918596,31
depression,rewrite_scores,0,0.9313256048387096,0.9313256048387096,1.0,0.9975638440860214,0.6074509367652212,31
depression,rewrite_scores,1,0.0053316758524987,0.0053316758524987,0.030066290209370274,0.009002858208071804,0.0022199267629570297,31
depression,rewrite_scores,2,0.7039105815272177,0.7039105815272177,1.0,0.48301499787197316,0.14409223034311078,31
depression,rewrite_scores,3,0.00012552738189697266,0.00012552738189697266,0.08146705935078283,0.011802391852101971,0.0010764629567469842,31
depression,rewrite_scores,4,0.006028538750063988,0.006028538750063988,0.04418206983996976,0.01115836238348356,0.002379158318196089,31
depression,rewrite_scores,5,0.010217983876505205,0.010217983876505205,0.021082082102375645,0.008059803388452016,0.0017579311794520696,31
depression,rewrite_scores,6,0.004839916383066485,0.004839916383066485,0.07459077527446131,0.01871041610676755,0.004711821843821901,31
depression,rewrite_scores,7,0.09935588221396169,0.09935588221396169,0.36327337449596775,0.04659051510595506,0.012412256145928318,31
depression,rewrite_scores,8,0.0005757501048426475,0.0005757501048426475,0.0311252647830594,0.009704912093377885,0.0013668871086356762,31
depression,rewrite_scores,9,0.008020285637147965,0.008020285637147965,0.030744533384999922,0.008152818807991603,0.0009001538603405735,31
depression,rewrite_scores,10,0.012453202278383316,0.012453202278383316,0.041845767728744016,0.011825058408962787,0.0029657261862130082,31
depression,rewrite_scores,11,0.01349511069636191,0.01349511069636191,0.020871673860857563,0.008250909851443382,0.0010388126556334536,31
depression,rewrite_scores,12,0.032488026926594395,0.032488026926594395,0.061371849429222844,0.013816623790289766,0.0031527416037378997,31
depression,rewrite_scores,13,0.013416294128664078,0.013416294128664078,0.031221309015827793,0.00914016128868185,0.002611103120740668,31
depression,rewrite_scores,14,0.0025344817869124873,0.0025344817869124873,0.06790914843159337,0.014633671058121547,0.004307536708483284,31
depression,rewrite_scores,15,0.0008813700368327479,0.0008813700368327479,0.03403225252705236,0.008281559713425172,0.0018835376703635698,31
depression,rewrite_scores,16,-0.0020397113215538764,-0.0020397113215538764,0.019145704084827055,0.0045086777338417625,0.0002747058779493518,31
depression,rewrite_scores,17,0.00989700613483306,0.00989700613483306,0.16516519361926663,0.017109208209540254,0.0047288711434860485,31
depression,rewrite_scores,18,0.5594221545803931,0.5594221545803931,0.6738419071320565,0.11435109581998598,0.034971002790340905,31
depression,rewrite_scores,19,0.1198325926257718,0.1198325926257718,0.37572454637096775,0.051615156794107074,0.015978306446968637,31
depression,rewrite_scores,20,-0.006235618745127032,-0.006235618745127032,0.10810605941280242,0.009259498632082374,0.0013090284100017414,31
depression,rewrite_scores,21,0.019794437193101453,0.019794437193101453,0.37174151020665325,0.030849936572454308,0.009174413136519961,31
depression,rewrite_scores,22,-0.0010500261860509072,-0.0010500261860509072,0.005913257598876953,0.0018815049561121133,2.8812459492653177e-05,31
depression,rewrite_scores,23,0.00031461061969880133,0.00031461061969880133,0.01035155019452495,0.002160865645254812,0.0006352785675706175,31
depression,rewrite_scores,24,0.0011093770304033833,0.0011093770304033833,0.020419305370699976,0.0027622713837572323,0.0009067169814976189,31
depression,rewrite_scores,25,-4.722226050592238e-05,-4.722226050592238e-05,0.003377145336520287,0.0014667171303943923,0.0002245651960318554,31
depression,rewrite_scores,26,-0.00019996396956905243,-0.00019996396956905243,0.055910910329511086,0.004861056291928855,0.0012083333814112863,31
depression,rewrite_scores,27,0.0,0.0,0.043708309050529234,0.0029138872700352823,0.0008678244471683128,31
multiple_sclerosis,rewrite_scores,0,0.8792990407636089,0.8792990407636089,1.0,0.992002688172043,0.5350807390548709,31
