intervention_scope,control_type,n_real,n_control,real_mean,control_mean,mannwhitney_u,p_value
local_token,condition_semantic,985,985,0.10350135497498529,0.0691859752504329,507684.5,0.07372696229281227
local_token,random_magnitude_matched,985,931,0.10350135497498529,0.0640277790955291,485291.5,0.02695058203426178
