control_type,n_real,n_control,real_mean,control_mean,mannwhitney_u,p_value
condition_semantic,219,219,-0.004522369290945791,0.0030406311601538596,23361.0,0.5234130348368988
random_magnitude_matched,219,210,-0.004522369290945791,0.0626092975333355,20809.5,0.02654779857971486
