condition,num_rows,mean_p_male,mean_p_female,mean_female_minus_male,pct_female_gt_male
asthma,2,0.07421875,0.923828125,0.849609375,100.0
depression,2,0.0110015869140625,0.98828125,0.9772796630859375,100.0
