layer,mean_rewrite_score,top10_mean_rewrite_score,num_units
0,0.22645498663832098,1.0,1
1,0.0002543957202465503,0.00104217529296875,1
2,0.028255945676332946,1.0,1
3,0.0003002587850991782,0.0016998291015625,1
4,0.0003119051714480181,0.00333404541015625,1
5,0.0003208474163369183,0.000799560546875,1
6,0.0003603237531917952,0.0043060302734375,1
7,0.0006852129321077685,0.0330902099609375,1
8,0.00027502976454697644,0.00182037353515625,1
9,0.0002635113604657062,0.00131072998046875,1
10,0.0002840215509588068,0.002178955078125,1
11,0.0002556342583198052,0.0017059326171875,1
12,0.00028720046534682763,0.0021759033203125,1
13,0.0003078345096472538,0.00121612548828125,1
14,0.0003321015989625609,0.003973388671875,1
15,0.0003103115857937635,0.00122833251953125,1
16,0.00029680739233504125,0.0028350830078125,1
17,0.0003551012509829038,0.011273193359375,1
18,0.0010332545160731195,0.064141845703125,1
19,0.0011192668568004262,0.0807342529296875,1
20,0.0010029681317217938,0.07816009521484375,1
21,0.0003829394584094291,0.0197509765625,1
22,0.00016679805078547753,0.000246429443359375,1
23,0.0001514071509951637,0.001441192626953125,1
24,0.0001755256157416802,0.00318450927734375,1
25,0.00010214636336157333,0.000223541259765625,1
26,9.202337884283684e-05,0.002042388916015625,1
27,1.8759723349567098e-05,0.0017333984375,1
