condition,prompt_id,cot_label,num_tokens,l18_mean,l18_median,l18_topk_mean,l18_trimmed_mean
asthma,1,A_var1,206,0.017322947678056734,0.0,0.11628926595052083,0.001033461237528238
asthma,2,A_var2,203,0.010893422394550493,0.0,0.08460693359375,-0.0011244697804831288
asthma,3,A_var3,199,0.05988683652638191,0.03857421875,0.260595703125,0.031146884704968944
asthma,4,A_var4,209,0.017531545538651317,0.0,0.12335408528645833,0.0015307544956545858
asthma,5,A_var5,204,0.0378717160692402,0.0,0.27215169270833334,0.007069657488567073
asthma,6,A_var6,201,0.015249072022699005,0.0,0.1227294921875,0.0014125279017857143
asthma,7,A_var7,206,0.01772537972163228,0.0,0.10461018880208334,0.00440114951995482
asthma,8,A_var8,205,0.04366365758384146,0.022216796875,0.19016927083333332,0.023270300662878787
asthma,9,A_var9,208,0.038923997145432696,0.02685546875,0.20379231770833334,0.015912737165178572
asthma,10,A_var10,209,0.03733599357057416,0.0,0.205908203125,0.013498520710059171
asthma,11,C_var1,198,0.028622405697601012,0.01422119140625,0.11922200520833333,0.01563873291015625
asthma,12,C_var2,201,0.02613701511971393,0.0,0.16995849609375,0.006921614178959627
asthma,13,C_var3,200,0.034927978515625,0.0,0.25556640625,0.00738067626953125
asthma,14,C_var4,200,0.00856201171875,-0.023193359375,0.14521484375,-0.0111236572265625
asthma,15,C_var5,197,0.04699273278870558,0.0,0.20856119791666666,0.028123771619496855
asthma,16,C_var6,200,-0.01816650390625,-0.0419921875,0.13717447916666667,-0.037249755859375
asthma,17,C_var7,203,0.023859634775246306,0.0,0.21881510416666666,3.5947085889570555e-05
asthma,18,C_var8,200,0.030712890625,0.0,0.17455240885416667,0.01008758544921875
asthma,19,C_var9,206,0.045901696658828886,0.04296875,0.16744791666666667,0.03137905626411898
asthma,20,C_var10,200,0.05373046875,0.03466796875,0.21927083333333333,0.0319061279296875
depression,1,A_var1,206,0.006226437763103004,-0.000553131103515625,0.04510943094889323,-0.00027918528361492846
depression,2,A_var2,203,0.004824821584917641,0.00089263916015625,0.03048884073893229,0.0005132289020561733
depression,3,A_var3,199,0.008252781240185301,-0.001861572265625,0.06528116861979166,-0.0014113906007375777
depression,4,A_var4,209,0.004571284974020634,0.0004749298095703125,0.02905120849609375,0.0005786602313701923
depression,5,A_var5,204,0.0291134703393076,0.01422119140625,0.15372111002604166,0.0096588134765625
depression,6,A_var6,201,0.010560144832478234,0.0,0.05867919921875,0.003125682380628882
depression,7,A_var7,206,0.0056014570217688105,0.0,0.03913065592447917,0.0002831148814006024
depression,8,A_var8,205,0.006897270388719512,0.0,0.046991729736328126,0.0004555442116477273
depression,9,A_var9,208,0.0037517914405235876,0.0003204345703125,0.02457402547200521,0.0003045399983723958
depression,10,A_var10,209,0.008937123859898326,0.00274658203125,0.0440185546875,0.0035797660872781065
depression,11,C_var1,198,0.007673013089883207,0.002105712890625,0.04394124348958333,0.0016504287719726562
depression,12,C_var2,201,0.012793393870491294,0.00482177734375,0.07296956380208333,0.0032875582298136645
depression,13,C_var3,200,0.008422088623046876,0.0,0.06924235026041667,-0.0013078689575195313
depression,14,C_var4,200,0.013221359252929688,0.0037689208984375,0.07078450520833333,0.003955268859863281
depression,15,C_var5,197,0.020215339467005076,0.0,0.099462890625,0.008795204402515723
depression,16,C_var6,200,0.00617828369140625,0.0,0.048716227213541664,-0.000421142578125
depression,17,C_var7,203,0.01252182833666872,0.0,0.08740946451822916,0.0011907472200920245
depression,18,C_var8,200,0.004886379241943359,0.0003204345703125,0.030670928955078124,0.0004530429840087891
depression,19,C_var9,206,0.008557662223149272,0.0,0.054484049479166664,0.002110492752259036
depression,20,C_var10,200,0.009142303466796875,0.0023651123046875,0.05441487630208333,0.0017124176025390624
multiple_sclerosis,1,A_var1,208,0.0002791984723164485,0.0,0.0019309679667154948,2.3018746148972285e-06
multiple_sclerosis,2,A_var2,205,0.0005868865222465701,8.392333984375e-05,0.003638966878255208,7.883707682291667e-05
multiple_sclerosis,3,A_var3,202,0.0037205667778997136,0.0,0.02606029510498047,-8.551279703776042e-05
multiple_sclerosis,4,A_var4,212,0.0007986842461352078,0.0,0.005528640747070312,3.234638887293198e-05
