rank,layer,count_prompts,fraction_prompts
1,19,18,0.5806451612903226
2,18,4,0.12903225806451613
3,13,2,0.06451612903225806
4,15,2,0.06451612903225806
5,16,1,0.03225806451612903
6,12,1,0.03225806451612903
7,14,1,0.03225806451612903
8,9,1,0.03225806451612903
9,8,1,0.03225806451612903
