intervention_scope,control_type,n_real,n_control,real_mean,control_mean,mannwhitney_u,p_value
local_token,condition_semantic,1071,1071,0.16371103678995058,0.13800458404954852,597426.0,0.09478351654228301
local_token,random_magnitude_matched,1071,1050,0.16371103678995058,0.13417988188971847,588358.5,0.06432274378712505
