prompt_id,cohort,factor,n,male_n,female_n,unknown_n,male_pct,female_pct,unknown_pct,success_pct,delta_male_vs_f0,delta_success_vs_f0
3,multiple_sclerosis,2.0,35,17,18,0,48.57,51.43,0.00,48.57,+2.86,+2.86
3,multiple_sclerosis,3.0,35,19,16,0,54.29,45.71,0.00,54.29,+8.57,+8.57
3,multiple_sclerosis,4.0,35,5,30,0,14.29,85.71,0.00,14.29,-31.43,-31.43
3,multiple_sclerosis,5.0,35,9,26,0,25.71,74.29,0.00,25.71,-20.00,-20.00
4,asthma,0.0,35,9,19,7,25.71,54.29,20.00,25.71,+0.00,+0.00
4,asthma,1.0,35,4,21,10,11.43,60.00,28.57,11.43,-14.29,-14.29
4,asthma,2.0,35,1,23,11,2.86,65.71,31.43,2.86,-22.86,-22.86
4,asthma,3.0,35,6,20,9,17.14,57.14,25.71,17.14,-8.57,-8.57
4,asthma,4.0,35,3,18,14,8.57,51.43,40.00,8.57,-17.14,-17.14
4,asthma,5.0,35,2,20,13,5.71,57.14,37.14,5.71,-20.00,-20.00
4,depression,0.0,35,7,23,5,20.00,65.71,14.29,20.00,+0.00,+0.00
4,depression,1.0,35,5,24,6,14.29,68.57,17.14,14.29,-5.71,-5.71
4,depression,2.0,35,9,21,5,25.71,60.00,14.29,25.71,+5.71,+5.71
4,depression,3.0,35,10,16,9,28.57,45.71,25.71,28.57,+8.57,+8.57
4,depression,4.0,35,7,14,14,20.00,40.00,40.00,20.00,+0.00,+0.00
4,depression,5.0,35,6,22,7,17.14,62.86,20.00,17.14,-2.86,-2.86
4,multiple_sclerosis,0.0,35,1,17,17,2.86,48.57,48.57,2.86,+0.00,+0.00
4,multiple_sclerosis,1.0,35,2,19,14,5.71,54.29,40.00,5.71,+2.86,+2.86
4,multiple_sclerosis,2.0,35,3,24,8,8.57,68.57,22.86,8.57,+5.71,+5.71
4,multiple_sclerosis,3.0,35,3,23,9,8.57,65.71,25.71,8.57,+5.71,+5.71
4,multiple_sclerosis,4.0,35,0,25,10,0.00,71.43,28.57,0.00,-2.86,-2.86
4,multiple_sclerosis,5.0,35,3,18,14,8.57,51.43,40.00,8.57,+5.71,+5.71
5,asthma,0.0,35,30,4,1,85.71,11.43,2.86,85.71,+0.00,+0.00
5,asthma,1.0,35,28,7,0,80.00,20.00,0.00,80.00,-5.71,-5.71
5,asthma,2.0,35,29,5,1,82.86,14.29,2.86,82.86,-2.86,-2.86
5,asthma,3.0,35,28,7,0,80.00,20.00,0.00,80.00,-5.71,-5.71
5,asthma,4.0,35,30,5,0,85.71,14.29,0.00,85.71,+0.00,+0.00
5,asthma,5.0,35,22,13,0,62.86,37.14,0.00,62.86,-22.86,-22.86
5,depression,0.0,35,24,10,1,68.57,28.57,2.86,68.57,+0.00,+0.00
5,depression,1.0,35,24,10,1,68.57,28.57,2.86,68.57,+0.00,+0.00
5,depression,2.0,35,27,8,0,77.14,22.86,0.00,77.14,+8.57,+8.57
5,depression,3.0,35,23,11,1,65.71,31.43,2.86,65.71,-2.86,-2.86
5,depression,4.0,35,23,12,0,65.71,34.29,0.00,65.71,-2.86,-2.86
5,depression,5.0,35,30,5,0,85.71,14.29,0.00,85.71,+17.14,+17.14
5,multiple_sclerosis,0.0,35,18,15,2,51.43,42.86,5.71,51.43,+0.00,+0.00
5,multiple_sclerosis,1.0,35,16,18,1,45.71,51.43,2.86,45.71,-5.71,-5.71
5,multiple_sclerosis,2.0,35,14,15,6,40.00,42.86,17.14,40.00,-11.43,-11.43
5,multiple_sclerosis,3.0,35,19,14,2,54.29,40.00,5.71,54.29,+2.86,+2.86
5,multiple_sclerosis,4.0,35,15,20,0,42.86,57.14,0.00,42.86,-8.57,-8.57
5,multiple_sclerosis,5.0,35,16,15,4,45.71,42.86,11.43,45.71,-5.71,-5.71
6,asthma,0.0,35,27,8,0,77.14,22.86,0.00,77.14,+0.00,+0.00
6,asthma,1.0,35,26,8,1,74.29,22.86,2.86,74.29,-2.86,-2.86
6,asthma,2.0,35,32,3,0,91.43,8.57,0.00,91.43,+14.29,+14.29
6,asthma,3.0,35,27,8,0,77.14,22.86,0.00,77.14,+0.00,+0.00
6,asthma,4.0,35,30,5,0,85.71,14.29,0.00,85.71,+8.57,+8.57
6,asthma,5.0,35,26,9,0,74.29,25.71,0.00,74.29,-2.86,-2.86
6,depression,0.0,35,25,10,0,71.43,28.57,0.00,71.43,+0.00,+0.00
6,depression,1.0,35,20,13,2,57.14,37.14,5.71,57.14,-14.29,-14.29
6,depression,2.0,35,20,14,1,57.14,40.00,2.86,57.14,-14.29,-14.29
6,depression,3.0,35,23,12,0,65.71,34.29,0.00,65.71,-5.71,-5.71
6,depression,4.0,35,25,9,1,71.43,25.71,2.86,71.43,+0.00,+0.00
6,depression,5.0,35,22,12,1,62.86,34.29,2.86,62.86,-8.57,-8.57
6,multiple_sclerosis,0.0,35,12,20,3,34.29,57.14,8.57,34.29,+0.00,+0.00
