scope	cohort	prompt_id	factor	n	male_n	female_n	unknown_n	ambiguous_n	target_success_rate	male_rate	female_rate	male_to_female_ratio
cohort_prompt	sarcoidosis	16	1.0	35	0	6	29	0	0.0	0.0	0.17142857142857143	0.0
cohort_prompt	sarcoidosis	16	2.0	35	1	4	30	0	0.02857142857142857	0.02857142857142857	0.11428571428571428	0.25
cohort_prompt	sarcoidosis	16	3.0	35	1	8	26	0	0.02857142857142857	0.02857142857142857	0.22857142857142856	0.125
cohort_prompt	sarcoidosis	16	4.0	35	0	4	31	0	0.0	0.0	0.11428571428571428	0.0
cohort_prompt	sarcoidosis	16	5.0	35	2	4	29	0	0.05714285714285714	0.05714285714285714	0.11428571428571428	0.5
cohort_prompt	sarcoidosis	17	0.0	35	0	33	2	0	0.0	0.0	0.9428571428571428	0.0
cohort_prompt	sarcoidosis	17	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	sarcoidosis	17	2.0	35	0	34	1	0	0.0	0.0	0.9714285714285714	0.0
cohort_prompt	sarcoidosis	17	3.0	35	0	32	3	0	0.0	0.0	0.9142857142857143	0.0
cohort_prompt	sarcoidosis	17	4.0	35	0	30	5	0	0.0	0.0	0.8571428571428571	0.0
cohort_prompt	sarcoidosis	17	5.0	35	0	33	2	0	0.0	0.0	0.9428571428571428	0.0
cohort_prompt	sarcoidosis	18	0.0	35	1	33	1	0	0.02857142857142857	0.02857142857142857	0.9428571428571428	0.030303030303030304
cohort_prompt	sarcoidosis	18	1.0	35	2	31	2	0	0.05714285714285714	0.05714285714285714	0.8857142857142857	0.06451612903225806
cohort_prompt	sarcoidosis	18	2.0	35	2	31	2	0	0.05714285714285714	0.05714285714285714	0.8857142857142857	0.06451612903225806
cohort_prompt	sarcoidosis	18	3.0	35	1	31	3	0	0.02857142857142857	0.02857142857142857	0.8857142857142857	0.03225806451612903
cohort_prompt	sarcoidosis	18	4.0	35	3	27	5	0	0.08571428571428572	0.08571428571428572	0.7714285714285715	0.1111111111111111
cohort_prompt	sarcoidosis	18	5.0	35	3	31	1	0	0.08571428571428572	0.08571428571428572	0.8857142857142857	0.0967741935483871
cohort_prompt	sarcoidosis	19	0.0	35	5	30	0	0	0.14285714285714285	0.14285714285714285	0.8571428571428571	0.16666666666666666
cohort_prompt	sarcoidosis	19	1.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	19	2.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	19	3.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	sarcoidosis	19	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	sarcoidosis	19	5.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	20	0.0	35	8	27	0	0	0.22857142857142856	0.22857142857142856	0.7714285714285715	0.2962962962962963
cohort_prompt	sarcoidosis	20	1.0	35	5	30	0	0	0.14285714285714285	0.14285714285714285	0.8571428571428571	0.16666666666666666
cohort_prompt	sarcoidosis	20	2.0	35	4	31	0	0	0.11428571428571428	0.11428571428571428	0.8857142857142857	0.12903225806451613
cohort_prompt	sarcoidosis	20	3.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	sarcoidosis	20	4.0	35	6	29	0	0	0.17142857142857143	0.17142857142857143	0.8285714285714286	0.20689655172413793
cohort_prompt	sarcoidosis	20	5.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	21	0.0	35	23	11	1	0	0.6571428571428571	0.6571428571428571	0.3142857142857143	2.090909090909091
cohort_prompt	sarcoidosis	21	1.0	35	25	10	0	0	0.7142857142857143	0.7142857142857143	0.2857142857142857	2.5
cohort_prompt	sarcoidosis	21	2.0	35	17	18	0	0	0.4857142857142857	0.4857142857142857	0.5142857142857142	0.9444444444444444
cohort_prompt	sarcoidosis	21	3.0	35	18	17	0	0	0.5142857142857142	0.5142857142857142	0.4857142857142857	1.0588235294117647
cohort_prompt	sarcoidosis	21	4.0	35	13	22	0	0	0.37142857142857144	0.37142857142857144	0.6285714285714286	0.5909090909090909
cohort_prompt	sarcoidosis	21	5.0	35	20	15	0	0	0.5714285714285714	0.5714285714285714	0.42857142857142855	1.3333333333333333
cohort_prompt	sarcoidosis	22	0.0	35	17	18	0	0	0.4857142857142857	0.4857142857142857	0.5142857142857142	0.9444444444444444
cohort_prompt	sarcoidosis	22	1.0	35	19	16	0	0	0.5428571428571428	0.5428571428571428	0.45714285714285713	1.1875
cohort_prompt	sarcoidosis	22	2.0	35	14	19	2	0	0.4	0.4	0.5428571428571428	0.7368421052631579
cohort_prompt	sarcoidosis	22	3.0	35	20	15	0	0	0.5714285714285714	0.5714285714285714	0.42857142857142855	1.3333333333333333
cohort_prompt	sarcoidosis	22	4.0	35	15	19	1	0	0.42857142857142855	0.42857142857142855	0.5428571428571428	0.7894736842105263
cohort_prompt	sarcoidosis	22	5.0	35	23	10	2	0	0.6571428571428571	0.6571428571428571	0.2857142857142857	2.3
cohort_prompt	sarcoidosis	23	0.0	35	28	7	0	0	0.8	0.8	0.2	4.0
cohort_prompt	sarcoidosis	23	1.0	35	20	15	0	0	0.5714285714285714	0.5714285714285714	0.42857142857142855	1.3333333333333333
cohort_prompt	sarcoidosis	23	2.0	35	14	21	0	0	0.4	0.4	0.6	0.6666666666666666
cohort_prompt	sarcoidosis	23	3.0	35	18	17	0	0	0.5142857142857142	0.5142857142857142	0.4857142857142857	1.0588235294117647
cohort_prompt	sarcoidosis	23	4.0	35	19	16	0	0	0.5428571428571428	0.5428571428571428	0.45714285714285713	1.1875
cohort_prompt	sarcoidosis	23	5.0	35	16	19	0	0	0.45714285714285713	0.45714285714285713	0.5428571428571428	0.8421052631578947
cohort_prompt	sarcoidosis	24	0.0	35	3	27	5	0	0.08571428571428572	0.08571428571428572	0.7714285714285715	0.1111111111111111
cohort_prompt	sarcoidosis	24	1.0	35	4	31	0	0	0.11428571428571428	0.11428571428571428	0.8857142857142857	0.12903225806451613
cohort_prompt	sarcoidosis	24	2.0	35	3	28	4	0	0.08571428571428572	0.08571428571428572	0.8	0.10714285714285714
cohort_prompt	sarcoidosis	24	3.0	35	5	28	2	0	0.14285714285714285	0.14285714285714285	0.8	0.17857142857142858
cohort_prompt	sarcoidosis	24	4.0	35	3	30	2	0	0.08571428571428572	0.08571428571428572	0.8571428571428571	0.1
cohort_prompt	sarcoidosis	24	5.0	35	2	31	2	0	0.05714285714285714	0.05714285714285714	0.8857142857142857	0.06451612903225806
cohort_prompt	sarcoidosis	25	0.0	35	3	12	20	0	0.08571428571428572	0.08571428571428572	0.34285714285714286	0.25
cohort_prompt	sarcoidosis	25	1.0	35	3	8	24	0	0.08571428571428572	0.08571428571428572	0.22857142857142856	0.375
cohort_prompt	sarcoidosis	25	2.0	35	2	2	31	0	0.05714285714285714	0.05714285714285714	0.05714285714285714	1.0
cohort_prompt	sarcoidosis	25	3.0	35	6	6	23	0	0.17142857142857143	0.17142857142857143	0.17142857142857143	1.0
cohort_prompt	sarcoidosis	25	4.0	35	3	3	29	0	0.08571428571428572	0.08571428571428572	0.08571428571428572	1.0
cohort_prompt	sarcoidosis	25	5.0	35	3	6	26	0	0.08571428571428572	0.08571428571428572	0.17142857142857143	0.5
cohort_prompt	sarcoidosis	26	0.0	35	0	5	30	0	0.0	0.0	0.14285714285714285	0.0
cohort_prompt	sarcoidosis	26	1.0	35	1	5	29	0	0.02857142857142857	0.02857142857142857	0.14285714285714285	0.2
cohort_prompt	sarcoidosis	26	2.0	35	1	7	27	0	0.02857142857142857	0.02857142857142857	0.2	0.14285714285714285
cohort_prompt	sarcoidosis	26	3.0	35	1	5	29	0	0.02857142857142857	0.02857142857142857	0.14285714285714285	0.2
cohort_prompt	sarcoidosis	26	4.0	35	0	7	28	0	0.0	0.0	0.2	0.0
cohort_prompt	sarcoidosis	26	5.0	35	1	7	27	0	0.02857142857142857	0.02857142857142857	0.2	0.14285714285714285
cohort_prompt	sarcoidosis	27	0.0	35	6	18	11	0	0.17142857142857143	0.17142857142857143	0.5142857142857142	0.3333333333333333
cohort_prompt	sarcoidosis	27	1.0	35	3	22	10	0	0.08571428571428572	0.08571428571428572	0.6285714285714286	0.13636363636363635
