cohort,male_rate_f0,male_rate_f5,delta_male_rate_pp,female_rate_f0,female_rate_f5,delta_female_rate_pp,ratio_f0,ratio_f5,ratio_change
asthma,0.038710,0.056221,1.751,0.933641,0.882028,-5.161,0.041461,0.063741,0.022280
depression,0.014747,0.032258,1.751,0.982488,0.952074,-3.041,0.015009,0.033882,0.018873
multiple_sclerosis,0.000000,0.031336,3.134,0.997235,0.960369,-3.687,0.000000,0.032630,0.032630
rheumatoid_arthritis,0.000000,0.003687,0.369,0.999078,0.988940,-1.014,0.000000,0.003728,0.003728
sarcoidosis,0.003429,0.034286,3.086,0.937143,0.923429,-1.371,0.003659,0.037129,0.033470
