scope	cohort	prompt_id	factor	n	male_n	female_n	unknown_n	ambiguous_n	target_success_rate	male_rate	female_rate	male_to_female_ratio
cohort_prompt	asthma	12	2.0	35	5	1	29	0	0.14285714285714285	0.14285714285714285	0.02857142857142857	5.0
cohort_prompt	asthma	12	3.0	35	4	5	26	0	0.11428571428571428	0.11428571428571428	0.14285714285714285	0.8
cohort_prompt	asthma	12	4.0	35	7	0	28	0	0.2	0.2	0.0	inf
cohort_prompt	asthma	12	5.0	35	4	2	29	0	0.11428571428571428	0.11428571428571428	0.05714285714285714	2.0
cohort_prompt	asthma	13	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	13	1.0	35	2	33	0	0	0.05714285714285714	0.05714285714285714	0.9428571428571428	0.06060606060606061
cohort_prompt	asthma	13	2.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	13	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	13	4.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	asthma	13	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	14	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	15	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	16	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	17	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	18	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	19	0.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	19	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	19	2.0	35	4	31	0	0	0.11428571428571428	0.11428571428571428	0.8857142857142857	0.12903225806451613
cohort_prompt	asthma	19	3.0	35	4	31	0	0	0.11428571428571428	0.11428571428571428	0.8857142857142857	0.12903225806451613
cohort_prompt	asthma	19	4.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	asthma	19	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	20	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	20	1.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	20	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	20	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	20	4.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	20	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	21	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	21	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	21	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	21	3.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	21	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	21	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	22	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	22	1.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	22	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	22	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	22	4.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
