factor,n,male_n,female_n,unknown_n,ambiguous_n,male_rate,female_rate,male_to_female_ratio,target_success_rate
0.0,5215,61,5065,89,0,0.011697027804410355,0.9712368168744008,0.012043435340572556,0.011697027804410355
1.0,5215,45,5107,63,0,0.00862895493767977,0.9792905081495685,0.008811435284903074,0.00862895493767977
2.0,5215,58,5080,77,0,0.01112176414189837,0.9741131351869607,0.01141732283464567,0.01112176414189837
3.0,5215,116,4998,101,0,0.02224352828379674,0.9583892617449664,0.023209283713485393,0.02224352828379674
4.0,5215,171,4910,134,0,0.03279002876318313,0.9415148609779482,0.03482688391038696,0.03279002876318313
5.0,5215,164,4913,138,0,0.03144774688398849,0.9420901246404602,0.033380826378994505,0.03144774688398849
